I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
31.08,31.08,75.0,118.92,50.6,50.6,99.4,45.72,6.68,-7.96,1.8,31.08
104.51,109.39,148.43,182.59,119.15,128.91,163.07,109.39,80.11,65.47,80.11,99.63
140.84,145.72,179.88,209.16,155.48,160.36,204.28,145.72,121.32,106.68,131.08,135.96
118.19,103.55,137.71,196.27,142.59,118.19,176.75,118.19,103.55,98.67,98.67,113.31
48.89,53.77,92.81,126.97,63.53,73.29,112.33,53.77,29.37,34.25,39.13,53.77
-17.44,-7.68,26.48,46.0,-7.68,6.96,36.24,-17.44,-46.72,-41.84,-32.08,-22.32
-56.79,-47.03,-12.87,6.65,-47.03,-32.39,-7.99,-56.79,-95.83,-90.95,-81.19,-66.55
-38.01,-38.01,-8.73,20.55,-23.37,-23.37,10.79,-33.13,-77.05,-77.05,-67.29,-47.77
16.77,11.89,46.05,89.97,36.29,26.53,70.45,21.65,-17.39,-22.27,2.13,11.89
94.8,80.16,109.44,163.12,114.32,94.8,143.6,94.8,60.64,50.88,75.28,80.16
146.71,122.31,146.71,210.15,171.11,132.07,195.51,151.59,117.43,107.67,112.55,132.07
132.42,127.54,161.7,205.62,151.94,142.18,186.1,137.3,108.02,103.14,103.14,122.66
73.97,93.49,132.53,142.29,83.73,113.01,127.65,73.97,49.57,44.69,59.33,69.09
15.09,24.85,49.25,59.01,19.97,34.61,54.13,5.33,-19.07,-19.07,-23.95,-4.43
-48.24,-33.6,0.56,15.2,-38.48,-18.96,0.56,-48.24,-77.52,-72.64,-72.64,-53.12
-47.89,-38.13,-8.85,5.79,-38.13,-23.49,0.91,-47.89,-82.05,-72.29,-67.41,-52.77
-0.86,8.9,38.18,52.82,8.9,23.54,43.06,-0.86,-39.9,-35.02,-20.38,-5.74
67.41,72.29,106.45,135.73,82.05,86.93,125.97,77.17,38.13,38.13,52.77,67.41
127.07,131.95,166.11,195.39,141.71,146.59,175.87,131.95,92.91,88.03,112.43,131.95
136.09,136.09,175.13,214.17,155.61,155.61,189.77,145.85,111.69,106.81,131.21,140.97
111.38,116.26,140.66,160.18,121.14,126.02,140.66,96.74,67.46,57.7,72.34,91.86
40.17,64.57,88.97,79.21,40.17,74.33,69.45,20.65,1.13,-13.51,-8.63,15.77
-29.13,-14.49,14.79,24.55,-24.25,0.15,5.03,-48.65,-58.41,-77.93,-58.41,-43.77
-46.9,-71.3,-46.9,16.54,-22.5,-61.54,-7.86,-61.54,-66.42,-81.06,-71.3,-46.9
-20.33,-34.97,-5.69,47.99,-0.81,-20.33,13.83,-39.85,-44.73,-54.49,-30.09,-20.33
48.22,48.22,77.5,106.78,62.86,62.86,72.62,28.7,9.18,4.3,33.58,43.34
121.65,126.53,150.93,170.45,131.41,136.29,150.93,97.25,77.73,63.09,92.37,121.65
148.22,157.98,187.26,201.9,157.98,172.62,172.62,128.7,104.3,94.54,123.82,148.22
135.33,135.33,154.85,174.37,145.09,145.09,154.85,101.17,76.77,67.01,96.29,120.69
75.79,61.15,75.79,114.83,90.43,66.03,100.19,41.63,17.23,-7.17,26.99,61.15
-5.18,-19.82,4.58,53.38,14.34,-10.06,28.98,-29.58,-53.98,-73.5,-44.22,-10.06
-49.41,-54.29,-25.01,14.03,-34.77,-39.65,-15.25,-68.93,-88.45,-112.85,-83.57,-44.53
-40.39,-45.27,-11.11,32.81,-20.87,-30.63,-11.11,-69.67,-79.43,-98.95,-74.55,-40.39
19.27,24.15,58.31,87.59,33.91,38.79,48.55,-14.89,-24.65,-44.17,-14.89,19.27
97.3,102.18,131.46,155.86,107.06,116.82,121.7,58.26,33.86,33.86,53.38,92.42
144.33,144.33,173.61,202.89,158.97,158.97,158.97,100.41,71.13,71.13,105.29,134.57
154.44,144.68,159.32,188.6,164.2,149.56,154.44,95.88,66.6,61.72,105.64,134.92
91.11,86.23,110.63,144.79,105.75,95.99,105.75,47.19,13.03,8.15,42.31,81.35
12.71,7.83,37.11,76.15,27.35,22.47,22.47,-31.21,-65.37,-75.13,-31.21,7.83
-50.62,-35.98,3.06,22.58,-40.86,-16.46,-26.22,-79.9,-118.94,-128.7,-55.5,-45.74
-50.27,-40.51,-6.35,13.17,-40.51,-25.87,-35.63,-89.31,-123.47,-138.11,-74.67,-55.15
-3.24,-3.24,30.92,65.08,11.4,11.4,16.28,-47.16,-71.56,-86.2,-47.16,-13.0
69.91,60.15,94.31,143.11,89.43,74.79,89.43,21.11,-3.29,-13.05,30.87,50.39
129.57,114.93,149.09,207.65,153.97,129.57,144.21,80.77,56.37,46.61,85.65,114.93
133.71,143.47,187.39,216.67,148.35,162.99,162.99,89.79,60.51,60.51,114.19,128.83
99.24,113.88,152.92,172.44,109.0,133.4,113.88,40.68,11.4,16.28,89.48,84.6
28.03,32.91,71.95,106.11,42.67,52.43,42.67,-30.53,-69.57,-64.69,8.51,13.39
-36.39,-36.39,2.65,41.69,-16.87,-16.87,-16.87,-85.19,-129.11,-124.23,-60.79,-46.15
-59.04,-73.68,-34.64,28.8,-34.64,-54.16,-39.52,-107.84,-156.64,-156.64,-83.44,-68.8
-22.71,-42.23,-8.07,55.37,1.69,-27.59,-3.19,-76.39,-115.43,-125.19,-61.75,-37.35
55.6,36.08,60.48,114.16,75.12,45.84,70.24,-17.6,-46.88,-56.64,16.56,26.32
114.39,104.63,138.79,187.59,133.91,119.27,129.03,41.19,16.79,11.91,80.23,99.75
150.72,140.96,170.24,214.16,170.24,155.6,165.36,72.64,48.24,48.24,121.44,126.32
128.07,118.31,147.59,191.51,147.59,132.95,137.83,40.23,20.71,15.83,103.67,98.79
53.89,49.01,88.05,136.85,73.41,68.53,73.41,-19.31,-48.59,-43.71,14.85,44.13
-27.08,-22.2,26.6,70.52,-7.56,2.2,7.08,-90.52,-119.8,-119.8,-56.36,-27.08
-61.55,-71.31,-27.39,31.17,-37.15,-51.79,-32.27,-124.99,-164.03,-159.15,-95.71,-66.43
-47.65,-52.53,-8.61,45.07,-23.25,-33.01,-28.13,-115.97,-159.89,-155.01,-86.69,-62.29
16.89,7.13,46.17,99.85,41.29,26.65,31.53,-56.31,-105.11,-95.35,-17.27,-7.51
85.16,80.28,124.2,177.88,109.56,99.8,104.68,16.84,-22.2,-27.08,55.88,55.88
132.19,137.07,180.99,220.03,151.71,156.59,151.71,63.87,24.83,24.83,102.91,107.79
127.66,122.78,166.7,220.38,152.06,142.3,152.06,59.34,30.06,30.06,93.5,103.26
69.21,59.45,108.25,171.69,98.49,83.85,93.61,0.89,-23.51,-23.51,59.45,54.57
10.33,5.45,39.61,83.53,29.85,20.09,20.09,-72.63,-97.03,-97.03,-38.47,-14.07
-53.0,-57.88,-13.96,39.72,-28.6,-38.36,-33.48,-126.2,-155.48,-145.72,-77.4,-67.64
-67.29,-57.53,-3.85,35.19,-47.77,-33.13,-38.01,-135.61,-169.77,-160.01,-91.69,-77.05
-15.38,4.14,52.94,72.46,-0.74,28.54,-0.74,-93.46,-132.5,-122.74,-49.54,-30.02
48.01,67.53,126.09,155.37,67.53,96.81,72.41,-20.31,-59.35,-59.35,23.61,38.25
117.43,107.67,156.47,219.91,146.71,132.07,146.71,49.11,14.95,10.07,102.79,107.67
126.45,121.57,175.25,238.69,155.73,145.97,155.73,67.89,33.73,23.97,97.17,121.57
91.98,87.1,135.9,194.46,116.38,111.5,111.5,23.66,-5.62,-5.62,52.94,77.34
30.53,20.77,59.81,113.49,54.93,40.29,45.17,-52.43,-71.95,-76.83,-18.27,6.13
-38.77,-53.41,-9.49,58.83,-9.49,-33.89,-24.13,-121.73,-141.25,-141.25,-82.69,-58.29
-61.42,-66.3,-22.38,31.3,-37.02,-46.78,-51.66,-149.26,-168.78,-168.78,-105.34,-85.82
-25.09,-39.73,-0.69,62.75,-0.69,-20.21,-15.33,-117.81,-137.33,-127.57,-69.01,-49.49
43.46,33.7,72.74,126.42,67.86,53.22,53.22,-49.26,-83.42,-68.78,4.42,19.06
112.01,97.37,136.41,199.85,136.41,116.89,116.89,19.29,-14.87,-5.11,77.85,92.49
143.46,128.82,167.86,231.3,167.86,148.34,148.34,45.86,6.82,21.46,89.78,119.06
120.81,115.93,154.97,203.77,140.33,135.45,115.93,23.21,-10.95,-6.07,57.37,91.53
41.75,41.75,95.43,149.11,66.15,66.15,61.27,-21.69,-60.73,-55.85,12.47,36.87
-39.22,-39.22,24.22,87.66,-9.94,-9.94,-5.06,-97.78,-122.18,-117.3,-53.86,-34.34
-68.81,-73.69,-20.01,43.43,-39.53,-49.29,-44.41,-142.01,-161.53,-156.65,-98.09,-78.57
-45.15,-64.67,-20.75,52.45,-15.87,-45.15,-35.39,-132.99,-147.63,-142.75,-79.31,-64.67
4.75,-5.01,48.67,116.99,34.03,19.39,29.15,-73.33,-92.85,-87.97,-9.89,-5.01
87.66,77.9,121.82,180.38,112.06,97.42,97.42,-0.18,-19.7,-14.82,48.62,68.14
129.81,115.17,163.97,237.17,159.09,139.57,149.33,51.73,22.45,32.21,105.41,120.05
125.28,115.52,164.32,227.76,154.56,139.92,139.92,37.44,8.16,17.92,91.12,110.64
71.71,61.95,110.75,174.19,100.99,86.35,86.35,-11.25,-45.41,-35.65,37.55,57.07
-6.69,-16.45,37.23,105.55,22.59,7.95,12.83,-79.89,-109.17,-99.41,-35.97,-21.33
-50.5,-79.78,-35.86,51.98,-16.34,-60.26,-35.86,-128.58,-152.98,-157.86,-89.54,-65.14
-55.03,-84.31,-40.39,47.45,-20.87,-64.79,-40.39,-142.87,-162.39,-162.39,-94.07,-79.43
-8.0,-37.28,6.64,94.48,26.16,-17.76,1.76,-100.72,-120.24,-115.36,-37.28,-32.4
55.39,45.63,99.31,167.63,84.67,70.03,70.03,-37.33,-42.21,-37.33,30.99,40.75
119.93,110.17,158.97,222.41,149.21,134.57,124.81,27.21,12.57,17.45,110.17,95.53
133.83,128.95,177.75,236.31,158.23,153.35,138.71,36.23,21.59,31.35,104.55,109.43
104.24,99.36,138.4,187.2,123.76,118.88,99.36,-3.12,-22.64,-17.76,55.44,70.08
23.27,13.51,62.31,125.75,52.55,37.91,28.15,-69.45,-93.85,-84.09,-10.89,3.75
-41.15,-55.79,-6.99,66.21,-11.87,-31.39,-36.27,-128.99,-153.39,-143.63,-70.43,-60.67
-54.04,-78.44,-39.4,38.68,-24.76,-58.92,-58.92,-151.64,-171.16,-166.28,-93.08,-88.2
-27.47,-42.11,1.81,70.13,1.81,-22.59,-27.47,-129.95,-144.59,-144.59,-76.27,-66.51
45.96,41.08,80.12,128.92,65.48,60.6,41.08,-61.4,-76.04,-85.8,-2.84,2.04
109.63,104.75,148.67,202.35,134.03,124.27,104.75,2.27,-2.61,-12.37,55.95,70.59
131.32,126.44,180.12,243.56,160.6,150.84,141.08,43.48,33.72,23.96,87.4,106.92
118.43,118.43,162.35,206.27,137.95,137.95,118.43,11.07,1.31,-3.57,84.27,84.27
49.13,58.89,107.69,141.85,68.65,83.29,49.13,-53.35,-63.11,-63.11,29.61,14.97
-12.32,-41.6,-2.56,80.4,21.84,-22.08,-12.32,-100.16,-119.68,-114.8,-46.48,-36.72
-41.91,-95.59,-66.31,45.93,-2.87,-80.95,-51.67,-134.63,-159.03,-163.91,-85.83,-76.07
-37.77,-62.17,-23.13,54.95,-8.49,-42.65,-47.53,-125.61,-150.01,-145.13,-76.81,-62.17
17.01,-2.51,41.41,114.61,46.29,17.01,26.77,-75.71,-90.35,-85.47,-17.15,2.37
95.04,56.0,95.04,192.64,134.08,75.52,99.92,2.32,-7.44,-17.2,56.0,80.4
142.07,107.91,146.95,239.67,176.23,127.43,142.07,39.59,34.71,29.83,103.03,117.67
132.66,108.26,152.18,235.14,166.82,127.78,132.66,25.3,25.3,25.3,108.26,113.14
74.21,44.93,93.73,186.45,113.25,69.33,83.97,-23.39,-23.39,-28.27,54.69,59.57
5.57,-13.95,29.97,103.17,34.85,5.57,10.45,-96.91,-92.03,-96.91,-28.59,-9.07
-43.12,-62.64,-23.6,44.72,-13.84,-43.12,-57.76,-150.48,-150.48,-145.6,-82.16,-67.52
-62.29,-57.41,-3.73,45.07,-37.89,-33.01,-67.17,-164.77,-164.77,-159.89,-96.45,-81.81
-10.38,-20.14,28.66,92.1,18.9,4.26,-20.14,-112.86,-122.62,-122.62,-44.54,-29.9
57.89,33.49,87.17,179.89,96.93,57.89,57.89,-39.71,-39.71,-39.71,38.37,48.13
127.31,88.27,132.19,234.67,166.35,107.79,117.55,34.59,29.71,24.83,102.91,107.79
155.85,116.81,146.09,233.93,190.01,131.45,131.45,43.61,38.73,24.09,111.93,116.81
106.74,82.34,121.38,199.46,136.02,101.86,92.1,-0.62,-0.62,-15.26,67.7,62.82
20.89,11.13,64.81,133.13,50.17,35.53,25.77,-66.95,-62.07,-76.71,11.13,-8.39
-43.53,-53.29,0.39,68.71,-14.25,-28.89,-43.53,-141.13,-136.25,-146.01,-72.81,-77.69
-61.3,-75.94,-27.14,46.06,-32.02,-51.54,-71.06,-158.9,-163.78,-158.9,-95.46,-95.46
-24.97,-49.37,-5.45,77.51,9.19,-29.85,-29.85,-127.45,-127.45,-122.57,-54.25,-54.25
33.82,24.06,77.74,146.06,63.1,48.46,28.94,-68.66,-68.66,-63.78,9.42,9.42
107.25,97.49,146.29,209.73,136.53,121.89,92.61,-4.99,-4.99,-0.11,77.97,77.97
138.7,138.7,187.5,236.3,163.1,163.1,128.94,31.34,31.34,41.1,114.3,114.3
116.05,106.29,155.09,218.53,145.33,130.69,101.41,8.69,8.69,13.57,91.65,91.65
61.39,41.87,80.91,149.23,90.67,61.39,41.87,-45.97,-41.09,-45.97,32.11,27.23
-14.7,-34.22,9.7,82.9,14.58,-14.7,-24.46,-117.18,-112.3,-117.18,-19.58,-43.98
-49.17,-83.33,-44.29,48.43,-15.01,-63.81,-63.81,-161.41,-151.65,-151.65,-58.93,-93.09
-30.39,-59.67,-25.51,52.57,-1.11,-45.03,-49.91,-147.51,-137.75,-137.75,-54.79,-74.31
34.15,4.87,34.15,107.35,63.43,19.51,-0.01,-73.21,-78.09,-82.97,-4.89,-19.53
92.66,78.02,121.94,190.26,121.94,97.54,82.9,-14.7,-9.82,-4.94,73.14,63.38
134.81,129.93,178.73,237.29,159.21,154.33,125.05,22.57,32.33,37.21,115.29,110.41
125.4,120.52,174.2,237.64,154.68,144.92,110.76,18.04,22.92,22.92,105.88,101.0
81.59,81.59,125.51,169.43,101.11,101.11,66.95,-30.65,-25.77,-25.77,62.07,52.31
12.95,-1.69,37.35,100.79,37.35,17.83,-11.45,-104.17,-99.29,-99.29,-30.97,-26.09
-45.5,-65.02,-21.1,52.1,-16.22,-45.5,-60.14,-152.86,-152.86,-152.86,-79.66,-74.78
-50.03,-64.67,-20.75,47.57,-20.75,-45.15,-64.67,-157.39,-152.51,-147.63,-79.31,-84.19
-3.0,-27.4,16.52,99.48,31.16,-7.88,-17.64,-115.24,-110.36,-100.6,-42.04,-42.04
70.15,40.87,84.79,172.63,104.31,60.39,60.39,-37.21,-27.45,-22.57,40.87,40.87
129.81,110.29,154.21,227.41,159.09,129.81,115.17,22.45,27.33,37.09,100.53,95.65
138.83,138.83,187.63,236.43,163.23,163.23,114.43,11.95,21.71,36.35,104.67,99.79
104.36,99.48,143.4,197.08,128.76,119.0,84.84,-22.52,-12.76,1.88,75.08,60.44
28.27,13.63,62.43,135.63,57.55,38.03,13.63,-88.85,-69.33,-69.33,13.63,-1.01
-31.27,-70.31,-26.39,76.09,7.77,-50.79,-36.15,-143.51,-128.87,-123.99,-55.67,-50.79
-44.16,-83.2,-49.04,43.68,-10.0,-68.56,-68.56,-166.16,-156.4,-146.64,-83.2,-73.44
-22.47,-56.63,-12.71,84.89,16.57,-37.11,-41.99,-124.95,-115.19,-120.07,-56.63,-46.87
46.08,16.8,60.72,148.56,80.24,36.32,26.56,-61.28,-46.64,-51.52,11.92,21.68
119.51,90.23,129.27,212.23,153.67,109.75,99.99,-7.37,7.27,12.15,90.23,90.23
150.96,126.56,165.6,243.68,180.24,146.08,121.68,24.08,43.6,43.6,116.8,116.8
128.31,108.79,147.83,216.15,157.59,128.31,103.91,1.43,20.95,20.95,84.39,94.15
59.01,54.13,98.05,151.73,83.41,73.65,34.61,-62.99,-48.35,-43.47,29.73,29.73
-7.32,-12.2,26.84,75.64,12.2,7.32,-36.6,-139.08,-124.44,-119.56,-41.48,-46.36
-56.43,-71.07,-22.27,50.93,-27.15,-46.67,-71.07,-173.55,-158.91,-149.15,-80.83,-80.83
-52.29,-71.81,-13.25,74.59,-13.25,-42.53,-62.05,-164.53,-149.89,-135.25,-66.93,-66.93
17.13,12.25,61.05,119.61,41.53,36.65,-7.27,-104.87,-90.23,-80.47,-7.27,-12.15
90.28,85.4,134.2,192.76,114.68,109.8,70.76,-26.84,-12.2,-2.44,65.88,61.0
137.31,112.91,161.71,249.55,171.47,137.31,117.79,25.07,39.71,49.47,117.79,112.91
142.54,98.62,137.66,245.02,181.58,118.14,118.14,25.42,40.06,49.82,123.02,113.26
84.09,59.69,103.61,186.57,118.25,79.21,54.81,-23.27,-8.63,-8.63,64.57,54.81
10.57,5.69,49.61,103.29,34.97,25.21,-23.59,-121.19,-91.91,-87.03,-13.83,-18.71
-33.24,-38.12,-3.96,39.96,-13.72,-23.48,-77.16,-174.76,-145.48,-135.72,-57.64,-77.16
-42.65,-47.53,-8.49,40.31,-23.13,-28.01,-81.69,-179.29,-154.89,-150.01,-57.29,-86.57
14.14,-20.02,9.26,92.22,43.42,-5.38,-29.78,-112.74,-102.98,-102.98,-15.14,-29.78
92.17,62.89,87.29,155.61,116.57,72.65,43.37,-49.35,-39.59,-34.71,58.01,43.37
151.83,127.43,151.83,215.27,176.23,137.19,103.03,0.55,24.95,20.07,112.79,93.27
146.21,126.69,170.61,243.81,175.49,146.21,126.69,29.09,48.61,48.61,131.57,116.93
97.1,53.18,106.86,228.86,145.9,77.58,92.22,-0.5,19.02,14.14,121.5,87.34
35.65,-8.27,35.65,147.89,79.57,11.25,16.13,-76.59,-57.07,-57.07,45.41,6.37
-28.77,-58.05,-14.13,73.71,5.39,-38.53,-53.17,-150.77,-121.49,-131.25,-43.41,-62.93
-51.42,-75.82,-31.9,51.06,-17.26,-56.3,-75.82,-178.3,-153.9,-153.9,-80.7,-90.46
-19.97,-39.49,4.43,77.63,9.31,-19.97,-44.37,-146.85,-132.21,-122.45,-39.49,-68.77
48.58,33.94,77.86,146.18,77.86,53.46,24.18,-78.3,-63.66,-58.78,19.3,9.54
117.13,92.73,136.65,219.61,151.29,112.25,92.73,-4.87,4.89,4.89,112.25,82.97
148.58,133.94,177.86,246.18,177.86,153.46,129.06,26.58,36.34,41.22,129.06,114.42
125.93,111.29,155.21,223.53,155.21,130.81,101.53,3.93,13.69,13.69,91.77,86.89
61.51,41.99,85.91,159.11,90.79,61.51,41.99,-60.49,-50.73,-55.61,22.47,22.47
-4.82,-24.34,14.7,83.02,24.46,-4.82,-29.22,-126.82,-117.06,-126.82,-43.86,-43.86
-53.93,-73.45,-24.65,53.43,-19.77,-49.05,-73.45,-166.17,-161.29,-161.29,-73.45,-88.09
-35.15,-54.67,-10.75,62.45,-5.87,-35.15,-59.55,-152.27,-142.51,-147.39,-69.31,-79.07
24.51,4.99,48.91,122.11,53.79,24.51,0.11,-107.25,-92.61,-92.61,-19.41,-14.53
87.9,83.02,136.7,200.14,117.18,107.42,73.26,-29.22,-9.7,-19.46,63.5,63.5
139.81,125.17,173.97,247.17,169.09,149.57,130.05,22.69,32.45,22.69,115.41,110.53
135.28,115.76,164.56,242.64,169.44,140.16,125.52,23.04,32.8,13.28,110.88,106.0
91.47,67.07,106.11,184.19,120.75,86.59,67.07,-30.53,-20.77,-35.41,57.31,47.55
13.07,3.31,47.23,105.79,37.47,22.83,-6.45,-104.05,-94.29,-108.93,-21.09,-25.97
-45.38,-55.14,-6.34,57.1,-16.1,-30.74,-64.9,-167.38,-152.74,-167.38,-69.78,-89.3
-45.03,-79.19,-35.27,62.33,-5.99,-59.67,-54.79,-162.15,-162.15,-171.91,-84.07,-88.95
-2.88,-32.16,16.64,109.36,36.16,-7.76,-12.64,-115.12,-115.12,-120.0,-27.28,-41.92
75.15,60.51,104.43,172.75,104.43,80.03,60.51,-41.97,-41.97,-51.73,36.11,26.35
139.69,129.93,168.97,222.65,164.09,149.45,115.29,7.93,12.81,7.93,81.13,81.13
143.83,129.19,177.99,251.19,173.11,153.59,129.19,12.07,21.83,16.95,104.79,99.91
94.72,84.96,143.52,216.72,128.88,114.24,94.72,-17.52,-12.64,-12.64,65.44,60.56
33.27,18.63,67.43,140.63,62.55,43.03,18.63,-78.97,-88.73,-88.73,-5.77,-10.65
-36.03,-50.67,3.01,81.09,-1.87,-26.27,-50.67,-148.27,-153.15,-153.15,-75.07,-79.95
-48.92,-63.56,-19.64,48.68,-19.64,-44.04,-68.44,-166.04,-175.8,-185.56,-97.72,-102.6
-17.47,-27.23,16.69,75.25,6.93,-7.71,-41.87,-139.47,-149.23,-154.11,-66.27,-66.27
46.2,31.56,80.36,153.56,75.48,55.96,31.56,-66.04,-70.92,-80.68,-2.6,2.28
124.51,100.11,139.15,217.23,153.79,119.63,104.99,7.39,-2.37,-7.25,65.95,75.71
155.96,121.8,160.84,253.56,190.12,141.32,141.32,33.96,29.08,24.2,97.4,107.16
123.55,108.91,157.71,230.91,152.83,133.31,113.79,1.55,6.43,-3.33,69.87,89.39
59.13,49.37,98.17,161.61,88.41,73.77,39.61,-62.87,-72.63,-77.51,5.45,24.97
-16.96,-26.72,26.96,95.28,12.32,-2.32,-21.84,-134.08,-148.72,-148.72,-56.0,-46.24
-46.55,-61.19,-17.27,51.05,-17.27,-41.67,-61.19,-163.67,-183.19,-188.07,-100.23,-85.59
-37.53,-66.81,-18.01,74.71,1.51,-42.41,-37.53,-140.01,-164.41,-164.41,-86.33,-66.81
17.25,-2.27,51.41,134.37,51.41,22.13,17.25,-80.35,-104.75,-109.63,-31.55,-12.03
95.28,80.64,129.44,202.64,124.56,105.04,85.52,-16.96,-36.48,-41.36,41.6,56.24
142.31,117.91,166.71,254.55,176.47,142.31,132.55,39.83,15.43,5.67,93.51,103.27
147.54,118.26,157.3,240.26,181.7,137.78,132.9,30.42,10.9,1.14,84.1,93.86
89.09,64.69,108.61,191.57,123.25,84.21,79.33,-28.03,-47.55,-52.43,25.65,45.17
15.57,-8.83,35.09,118.05,49.73,10.69,0.93,-106.43,-125.95,-130.83,-57.63,-42.99
-23.36,-47.76,-18.48,49.84,1.04,-33.12,-57.52,-155.12,-184.4,-189.28,-111.2,-96.56
-37.65,-66.93,-27.89,55.07,-3.49,-47.41,-57.17,-169.41,-188.93,-188.93,-96.21,-96.21
-10.14,-29.66,28.9,116.74,28.9,-0.38,-0.38,-102.86,-127.26,-137.02,-54.06,-39.42
67.89,23.97,77.65,199.65,116.69,48.37,87.41,-19.95,-44.35,-58.99,23.97,38.61
127.55,93.39,147.07,254.43,171.47,117.79,132.43,34.83,10.43,-9.09,78.75,98.27
146.33,117.05,165.85,258.57,185.37,141.45,141.45,43.85,9.69,-0.07,82.89,102.41
106.98,77.7,126.5,219.22,146.02,102.1,106.98,9.38,-19.9,-29.66,43.54,67.94
30.89,11.37,65.05,148.01,65.05,35.77,35.77,-66.71,-91.11,-100.87,-32.55,-17.91
-23.77,-43.29,0.63,73.83,5.51,-23.77,-28.65,-136.01,-160.41,-165.29,-92.09,-72.57
-46.42,-61.06,-17.14,51.18,-17.14,-41.54,-56.18,-168.42,-183.06,-192.82,-109.86,-100.1
-14.97,-58.89,-14.97,97.27,28.95,-39.37,-14.97,-117.45,-146.73,-156.49,-63.77,-58.89
53.58,14.54,58.46,160.94,92.62,34.06,48.7,-63.54,-87.94,-87.94,-9.86,4.78
107.49,92.85,151.41,234.37,141.65,122.13,112.37,9.89,-19.39,-24.27,48.93,73.33
148.7,138.94,187.74,251.18,177.98,163.34,148.7,46.22,12.06,2.3,80.38,104.78
126.05,106.53,155.33,233.41,160.21,130.93,121.17,23.57,-15.47,-25.23,67.49,82.13
61.63,22.59,71.39,178.75,105.55,46.99,61.63,-40.85,-75.01,-84.77,-6.69,17.71
-4.7,-53.5,-9.58,107.54,39.22,-33.98,0.18,-102.3,-136.46,-155.98,-73.02,-53.5
-53.81,-87.97,-34.29,73.07,-9.89,-63.57,-34.29,-141.65,-175.81,-195.33,-112.37,-92.85
-30.15,-59.43,-15.51,72.33,4.01,-39.91,-30.15,-132.63,-166.79,-181.43,-108.23,-78.95
29.51,9.99,53.91,127.11,58.79,29.51,29.51,-72.97,-107.13,-116.89,-43.69,-19.29
97.78,78.26,127.06,205.14,131.94,102.66,102.66,-4.7,-38.86,-48.62,29.46,48.98
149.69,135.05,178.97,247.29,178.97,154.57,154.57,42.33,8.17,3.29,81.37,110.65
154.92,145.16,179.32,228.12,174.44,159.8,150.04,52.44,8.52,-1.24,81.72,106.12
106.23,91.59,120.87,174.55,125.75,106.23,96.47,-1.13,-45.05,-59.69,18.39,47.67
37.59,13.19,37.59,101.03,61.99,22.95,27.83,-69.77,-113.69,-128.33,-50.25,-20.97
-20.86,-50.14,-20.86,52.34,8.42,-35.5,-25.74,-123.34,-162.38,-181.9,-98.94,-69.66
-25.39,-40.03,-10.75,42.93,-5.87,-25.39,-40.03,-132.75,-166.91,-186.43,-113.23,-83.95
31.4,11.88,31.4,80.2,50.92,21.64,11.88,-80.84,-119.88,-139.4,-71.08,-41.8
104.55,89.91,109.43,153.35,119.19,99.67,85.03,-2.81,-46.73,-61.37,6.95,31.35
169.09,169.09,183.73,198.37,173.97,173.97,144.69,42.21,8.05,-6.59,81.25,95.89
182.99,187.87,202.51,212.27,187.87,192.75,158.59,56.11,21.95,7.31,95.15,104.91
138.76,158.28,177.8,168.04,138.76,168.04,109.48,7.0,-27.16,-36.92,41.16,60.68
62.67,77.31,101.71,106.59,67.55,87.07,33.39,-64.21,-93.49,-108.13,-30.05,4.11
8.01,-6.63,8.01,47.05,22.65,-1.75,-40.79,-128.63,-172.55,-182.31,-109.11,-70.07
-14.64,-39.04,-24.4,29.28,4.88,-34.16,-53.68,-146.4,-190.32,-195.2,-117.12,-87.84
21.69,-2.71,7.05,55.85,36.33,2.17,-12.47,-110.07,-153.99,-163.75,-80.79,-56.39
100.0,75.6,75.6,114.64,109.76,75.6,60.96,-36.64,-80.56,-100.08,-26.88,2.4
168.55,109.99,109.99,197.83,197.83,109.99,158.79,51.43,-2.25,-7.13,51.43,90.47
204.88,156.08,151.2,219.52,224.4,151.2,185.36,78.0,34.08,24.32,87.76,126.8
187.11,138.31,128.55,191.99,206.63,133.43,162.71,50.47,11.43,-3.21,65.11,99.27
103.17,83.65,93.41,132.45,117.81,88.53,103.17,-9.07,-48.11,-52.99,25.09,54.37
27.08,41.72,56.36,51.48,27.08,46.6,22.2,-99.8,-124.2,-124.2,-46.12,-16.84
12.13,21.89,12.13,-12.27,2.37,17.01,-22.03,-129.39,-158.67,-163.55,-80.59,-56.19
30.91,35.79,21.15,1.63,21.15,26.03,-3.25,-100.85,-130.13,-144.77,-71.57,-27.65
85.69,100.33,90.57,61.29,71.05,95.45,61.29,-55.83,-85.11,-94.87,-11.91,27.13
168.6,188.12,168.6,119.8,149.08,178.36,134.44,17.32,-16.84,-26.6,56.36,95.4
200.99,244.91,240.03,171.71,176.59,240.03,191.23,78.99,49.71,30.19,103.39,142.43
201.34,225.74,215.98,172.06,181.82,220.86,206.22,93.98,50.06,40.3,103.74,142.78
152.65,177.05,162.41,113.61,133.13,167.29,167.29,59.93,6.25,1.37,79.45,89.21
79.13,98.65,84.01,40.09,59.61,88.89,103.53,-8.71,-57.51,-67.27,-3.83,20.57
